ts,app,status,elapsed_ms,error
2026-04-02T09:20:02Z,memlabapp-1,200,967,
2026-04-02T09:20:03Z,memlabapp-2,200,1013,
2026-04-02T09:20:04Z,memlabapp-3,200,997,
2026-04-02T09:20:05Z,memlabapp-4,503,1324,
2026-04-02T09:20:11Z,memlabapp-1,200,913,
2026-04-02T09:20:12Z,memlabapp-2,200,1013,
2026-04-02T09:20:13Z,memlabapp-3,200,1004,
2026-04-02T09:20:14Z,memlabapp-4,503,900,
2026-04-02T09:20:20Z,memlabapp-1,200,1047,
2026-04-02T09:20:21Z,memlabapp-2,200,1020,
2026-04-02T09:20:22Z,memlabapp-3,200,1095,
2026-04-02T09:20:22Z,memlabapp-4,503,-698,
2026-04-02T09:20:28Z,memlabapp-1,200,1077,
2026-04-02T09:20:29Z,memlabapp-2,200,926,
2026-04-02T09:20:30Z,memlabapp-3,200,962,
2026-04-02T09:20:31Z,memlabapp-4,503,1018,
2026-04-02T09:20:37Z,memlabapp-1,200,1021,
2026-04-02T09:20:38Z,memlabapp-2,200,1047,
2026-04-02T09:20:39Z,memlabapp-3,200,963,
2026-04-02T09:20:53Z,memlabapp-4,0,13963,timeout_or_connection_error
2026-04-02T09:20:59Z,memlabapp-1,200,1070,
2026-04-02T09:21:00Z,memlabapp-2,200,1301,
2026-04-02T09:21:01Z,memlabapp-3,200,977,
2026-04-02T09:21:17Z,memlabapp-4,0,16057,timeout_or_connection_error
2026-04-02T09:21:23Z,memlabapp-1,200,1040,
2026-04-02T09:21:22Z,memlabapp-2,200,-972,
2026-04-02T09:21:23Z,memlabapp-3,200,1046,
2026-04-02T09:21:24Z,memlabapp-4,503,1092,
2026-04-02T09:21:30Z,memlabapp-1,200,862,
2026-04-02T09:21:31Z,memlabapp-2,200,1066,
2026-04-02T09:21:32Z,memlabapp-3,200,933,
2026-04-02T09:21:33Z,memlabapp-4,503,845,
2026-04-02T09:21:39Z,memlabapp-1,200,888,
2026-04-02T09:21:40Z,memlabapp-2,200,995,
2026-04-02T09:21:41Z,memlabapp-3,200,802,
2026-04-02T09:21:42Z,memlabapp-4,503,1123,
2026-04-02T09:21:48Z,memlabapp-1,200,1097,
2026-04-02T09:21:49Z,memlabapp-2,200,1046,
2026-04-02T09:21:50Z,memlabapp-3,200,1026,
2026-04-02T09:21:51Z,memlabapp-4,503,967,
2026-04-02T09:21:55Z,memlabapp-1,200,1029,
2026-04-02T09:21:56Z,memlabapp-2,200,1016,
2026-04-02T09:21:57Z,memlabapp-3,200,982,
2026-04-02T09:21:58Z,memlabapp-4,503,981,
2026-04-02T09:22:04Z,memlabapp-1,200,999,
2026-04-02T09:22:05Z,memlabapp-2,200,833,
2026-04-02T09:22:06Z,memlabapp-3,200,1051,
2026-04-02T09:22:07Z,memlabapp-4,503,1161,
2026-04-02T09:22:13Z,memlabapp-1,200,1014,
2026-04-02T09:22:15Z,memlabapp-2,200,1090,
2026-04-02T09:22:16Z,memlabapp-3,200,1028,
2026-04-02T09:22:17Z,memlabapp-4,503,1721,
2026-04-02T09:22:23Z,memlabapp-1,200,1090,
2026-04-02T09:22:23Z,memlabapp-2,200,-877,
2026-04-02T09:22:24Z,memlabapp-3,200,975,
2026-04-02T09:22:40Z,memlabapp-4,0,16012,timeout_or_connection_error
2026-04-02T09:22:46Z,memlabapp-1,200,1052,
2026-04-02T09:22:47Z,memlabapp-2,200,1043,
2026-04-02T09:22:48Z,memlabapp-3,200,929,
2026-04-02T09:23:00Z,memlabapp-4,503,12803,
