ts,app,status,elapsed_ms,error
2026-04-02T13:26:10Z,memlabapp-1,200,898,
2026-04-02T13:26:11Z,memlabapp-2,200,922,
2026-04-02T13:26:11Z,memlabapp-3,200,869,
2026-04-02T13:26:13Z,memlabapp-4,200,1133,
2026-04-02T13:26:13Z,memlabapp-5,200,864,
2026-04-02T13:26:14Z,memlabapp-6,200,842,
2026-04-02T13:26:23Z,memlabapp-1,200,882,
2026-04-02T13:26:24Z,memlabapp-2,200,825,
2026-04-02T13:26:25Z,memlabapp-3,200,1032,
2026-04-02T13:26:26Z,memlabapp-4,200,962,
2026-04-02T13:26:27Z,memlabapp-5,200,873,
2026-04-02T13:26:28Z,memlabapp-6,200,1067,
2026-04-02T13:26:34Z,memlabapp-1,200,941,
2026-04-02T13:26:35Z,memlabapp-2,200,947,
2026-04-02T13:26:36Z,memlabapp-3,200,967,
2026-04-02T13:26:37Z,memlabapp-4,200,895,
2026-04-02T13:26:38Z,memlabapp-5,200,905,
2026-04-02T13:26:39Z,memlabapp-6,200,788,
2026-04-02T13:26:48Z,memlabapp-1,200,909,
2026-04-02T13:26:49Z,memlabapp-2,200,969,
2026-04-02T13:26:50Z,memlabapp-3,200,950,
2026-04-02T13:26:51Z,memlabapp-4,200,991,
2026-04-02T13:26:52Z,memlabapp-5,200,886,
2026-04-02T13:26:52Z,memlabapp-6,200,790,
2026-04-02T13:27:01Z,memlabapp-1,200,832,
2026-04-02T13:27:00Z,memlabapp-2,200,-1724,
2026-04-02T13:27:00Z,memlabapp-3,200,928,
2026-04-02T13:27:01Z,memlabapp-4,200,1002,
2026-04-02T13:27:02Z,memlabapp-5,200,1001,
2026-04-02T13:27:03Z,memlabapp-6,200,966,
2026-04-02T13:27:13Z,memlabapp-1,200,1105,
2026-04-02T13:27:14Z,memlabapp-2,200,1340,
2026-04-02T13:27:15Z,memlabapp-3,200,1156,
2026-04-02T13:27:16Z,memlabapp-4,200,922,
2026-04-02T13:27:17Z,memlabapp-5,200,949,
2026-04-02T13:27:18Z,memlabapp-6,200,1043,
2026-04-02T13:27:27Z,memlabapp-1,200,917,
2026-04-02T13:27:28Z,memlabapp-2,200,847,
2026-04-02T13:27:29Z,memlabapp-3,200,964,
2026-04-02T13:27:30Z,memlabapp-4,200,1304,
2026-04-02T13:27:31Z,memlabapp-5,200,875,
2026-04-02T13:27:29Z,memlabapp-6,200,-1629,
2026-04-02T13:27:38Z,memlabapp-1,200,1005,
2026-04-02T13:27:39Z,memlabapp-2,200,1016,
2026-04-02T13:27:40Z,memlabapp-3,200,1127,
2026-04-02T13:27:41Z,memlabapp-4,200,871,
2026-04-02T13:27:42Z,memlabapp-5,200,921,
2026-04-02T13:27:43Z,memlabapp-6,200,987,
2026-04-02T13:27:52Z,memlabapp-1,200,1033,
2026-04-02T13:27:53Z,memlabapp-2,200,1116,
2026-04-02T13:27:54Z,memlabapp-3,200,880,
2026-04-02T13:27:55Z,memlabapp-4,200,1004,
2026-04-02T13:27:56Z,memlabapp-5,200,900,
2026-04-02T13:27:57Z,memlabapp-6,200,846,
2026-04-02T13:28:04Z,memlabapp-1,200,1041,
2026-04-02T13:28:04Z,memlabapp-2,200,915,
2026-04-02T13:28:05Z,memlabapp-3,200,817,
2026-04-02T13:28:06Z,memlabapp-4,200,890,
2026-04-02T13:28:07Z,memlabapp-5,200,1041,
2026-04-02T13:28:08Z,memlabapp-6,200,890,
2026-04-02T13:28:17Z,memlabapp-1,200,869,
2026-04-02T13:28:18Z,memlabapp-2,200,945,
2026-04-02T13:28:19Z,memlabapp-3,200,1156,
2026-04-02T13:28:20Z,memlabapp-4,200,1107,
2026-04-02T13:28:21Z,memlabapp-5,200,1087,
2026-04-02T13:28:22Z,memlabapp-6,200,921,
2026-04-02T13:28:31Z,memlabapp-1,200,932,
2026-04-02T13:28:29Z,memlabapp-2,200,-1677,
2026-04-02T13:28:30Z,memlabapp-3,200,995,
