ts,app,status,elapsed_ms,error
2026-04-02T13:15:35Z,memlabapp-1,200,922,
2026-04-02T13:15:36Z,memlabapp-2,200,832,
2026-04-02T13:15:37Z,memlabapp-3,200,878,
2026-04-02T13:15:38Z,memlabapp-4,200,1001,
2026-04-02T13:15:39Z,memlabapp-5,200,930,
2026-04-02T13:15:48Z,memlabapp-1,200,1039,
2026-04-02T13:15:49Z,memlabapp-2,200,1029,
2026-04-02T13:15:50Z,memlabapp-3,200,958,
2026-04-02T13:15:51Z,memlabapp-4,200,1006,
2026-04-02T13:15:52Z,memlabapp-5,200,1032,
2026-04-02T13:16:00Z,memlabapp-1,200,862,
2026-04-02T13:16:01Z,memlabapp-2,200,939,
2026-04-02T13:16:00Z,memlabapp-3,200,-1790,
2026-04-02T13:16:01Z,memlabapp-4,200,936,
2026-04-02T13:16:02Z,memlabapp-5,200,1004,
2026-04-02T13:16:11Z,memlabapp-1,200,973,
2026-04-02T13:16:11Z,memlabapp-2,200,915,
2026-04-02T13:16:12Z,memlabapp-3,200,976,
2026-04-02T13:16:13Z,memlabapp-4,200,921,
2026-04-02T13:16:14Z,memlabapp-5,200,915,
2026-04-02T13:16:23Z,memlabapp-1,200,996,
2026-04-02T13:16:24Z,memlabapp-2,200,1071,
2026-04-02T13:16:26Z,memlabapp-3,200,1106,
2026-04-02T13:16:26Z,memlabapp-4,200,954,
2026-04-02T13:16:27Z,memlabapp-5,200,960,
2026-04-02T13:16:34Z,memlabapp-1,200,1014,
2026-04-02T13:16:35Z,memlabapp-2,200,990,
2026-04-02T13:16:36Z,memlabapp-3,200,1117,
2026-04-02T13:16:37Z,memlabapp-4,200,1114,
2026-04-02T13:16:38Z,memlabapp-5,200,1105,
2026-04-02T13:16:47Z,memlabapp-1,200,1085,
2026-04-02T13:16:48Z,memlabapp-2,200,987,
2026-04-02T13:16:49Z,memlabapp-3,200,951,
2026-04-02T13:16:50Z,memlabapp-4,200,951,
2026-04-02T13:16:51Z,memlabapp-5,200,1013,
2026-04-02T13:17:00Z,memlabapp-1,200,892,
2026-04-02T13:17:01Z,memlabapp-2,200,876,
2026-04-02T13:16:59Z,memlabapp-3,200,-1509,
2026-04-02T13:17:00Z,memlabapp-4,200,961,
2026-04-02T13:17:01Z,memlabapp-5,200,929,
2026-04-02T13:17:10Z,memlabapp-1,200,1053,
2026-04-02T13:17:11Z,memlabapp-2,200,1003,
2026-04-02T13:17:13Z,memlabapp-3,200,1099,
2026-04-02T13:17:13Z,memlabapp-4,200,845,
2026-04-02T13:17:14Z,memlabapp-5,200,932,
2026-04-02T13:17:23Z,memlabapp-1,200,997,
2026-04-02T13:17:24Z,memlabapp-2,200,1040,
2026-04-02T13:17:25Z,memlabapp-3,200,846,
2026-04-02T13:17:26Z,memlabapp-4,200,862,
2026-04-02T13:17:27Z,memlabapp-5,200,995,
2026-04-02T13:17:33Z,memlabapp-1,200,900,
2026-04-02T13:17:34Z,memlabapp-2,200,829,
2026-04-02T13:17:35Z,memlabapp-3,200,853,
2026-04-02T13:17:36Z,memlabapp-4,200,931,
2026-04-02T13:17:37Z,memlabapp-5,200,778,
2026-04-02T13:17:46Z,memlabapp-1,200,1067,
2026-04-02T13:17:47Z,memlabapp-2,200,1092,
2026-04-02T13:17:48Z,memlabapp-3,200,889,
2026-04-02T13:17:49Z,memlabapp-4,200,932,
2026-04-02T13:17:50Z,memlabapp-5,200,997,
2026-04-02T13:17:59Z,memlabapp-1,200,895,
2026-04-02T13:18:00Z,memlabapp-2,200,1022,
2026-04-02T13:18:01Z,memlabapp-3,200,1013,
2026-04-02T13:17:59Z,memlabapp-4,200,-1746,
2026-04-02T13:18:00Z,memlabapp-5,200,1126,
2026-04-02T13:18:09Z,memlabapp-1,200,1008,
2026-04-02T13:18:10Z,memlabapp-2,200,1075,
2026-04-02T13:18:11Z,memlabapp-3,200,984,
2026-04-02T13:18:12Z,memlabapp-4,200,800,
2026-04-02T13:18:13Z,memlabapp-5,200,980,
2026-04-02T13:18:22Z,memlabapp-1,200,1027,
2026-04-02T13:18:23Z,memlabapp-2,200,971,
2026-04-02T13:18:24Z,memlabapp-3,200,989,
2026-04-02T13:18:25Z,memlabapp-4,200,1021,
2026-04-02T13:18:26Z,memlabapp-5,200,1064,
2026-04-02T13:18:32Z,memlabapp-1,200,914,
2026-04-02T13:18:33Z,memlabapp-2,200,996,
2026-04-02T13:18:34Z,memlabapp-3,200,992,
2026-04-02T13:18:35Z,memlabapp-4,200,900,
2026-04-02T13:18:36Z,memlabapp-5,200,809,
2026-04-02T13:18:45Z,memlabapp-1,200,925,
2026-04-02T13:18:46Z,memlabapp-2,200,968,
2026-04-02T13:18:47Z,memlabapp-3,200,1111,
2026-04-02T13:18:48Z,memlabapp-4,200,1027,
2026-04-02T13:18:49Z,memlabapp-5,200,980,
2026-04-02T13:18:58Z,memlabapp-1,200,1045,
2026-04-02T13:18:59Z,memlabapp-2,200,926,
2026-04-02T13:19:00Z,memlabapp-3,200,832,
2026-04-02T13:19:01Z,memlabapp-4,200,835,
2026-04-02T13:18:59Z,memlabapp-5,200,-1622,
2026-04-02T13:19:08Z,memlabapp-1,200,1035,
2026-04-02T13:19:09Z,memlabapp-2,200,962,
2026-04-02T13:19:10Z,memlabapp-3,200,949,
2026-04-02T13:19:11Z,memlabapp-4,200,941,
2026-04-02T13:19:12Z,memlabapp-5,200,1065,
2026-04-02T13:19:21Z,memlabapp-1,200,883,
2026-04-02T13:19:22Z,memlabapp-2,200,1098,
2026-04-02T13:19:23Z,memlabapp-3,200,889,
2026-04-02T13:19:24Z,memlabapp-4,200,989,
2026-04-02T13:19:25Z,memlabapp-5,200,999,
2026-04-02T13:19:31Z,memlabapp-1,200,979,
2026-04-02T13:19:32Z,memlabapp-2,200,976,
2026-04-02T13:19:33Z,memlabapp-3,200,1021,
2026-04-02T13:19:34Z,memlabapp-4,200,1017,
2026-04-02T13:19:35Z,memlabapp-5,200,778,
2026-04-02T13:19:44Z,memlabapp-1,200,793,
2026-04-02T13:19:45Z,memlabapp-2,200,899,
2026-04-02T13:19:46Z,memlabapp-3,200,894,
2026-04-02T13:19:47Z,memlabapp-4,200,785,
2026-04-02T13:19:47Z,memlabapp-5,200,864,
2026-04-02T13:19:56Z,memlabapp-1,200,994,
2026-04-02T13:19:57Z,memlabapp-2,200,884,
2026-04-02T13:19:58Z,memlabapp-3,200,1098,
2026-04-02T13:19:59Z,memlabapp-4,200,904,
2026-04-02T13:20:00Z,memlabapp-5,200,1023,
2026-04-02T13:20:07Z,memlabapp-1,200,957,
2026-04-02T13:20:08Z,memlabapp-2,200,897,
2026-04-02T13:20:09Z,memlabapp-3,200,882,
2026-04-02T13:20:09Z,memlabapp-4,200,949,
2026-04-02T13:20:10Z,memlabapp-5,200,952,
2026-04-02T13:20:19Z,memlabapp-1,200,1034,
2026-04-02T13:20:21Z,memlabapp-2,200,1023,
2026-04-02T13:20:22Z,memlabapp-3,200,1132,
2026-04-02T13:20:23Z,memlabapp-4,200,1041,
2026-04-02T13:20:24Z,memlabapp-5,200,949,
2026-04-02T13:20:30Z,memlabapp-1,200,1098,
2026-04-02T13:20:31Z,memlabapp-2,200,1073,
2026-04-02T13:20:32Z,memlabapp-3,200,1091,
2026-04-02T13:20:33Z,memlabapp-4,200,877,
2026-04-02T13:20:34Z,memlabapp-5,200,875,
2026-04-02T13:20:43Z,memlabapp-1,200,1074,
2026-04-02T13:20:44Z,memlabapp-2,200,1007,
2026-04-02T13:20:45Z,memlabapp-3,200,1016,
2026-04-02T13:20:46Z,memlabapp-4,200,1050,
2026-04-02T13:20:47Z,memlabapp-5,200,1009,
2026-04-02T13:20:56Z,memlabapp-1,200,1137,
2026-04-02T13:20:57Z,memlabapp-2,200,1171,
2026-04-02T13:20:59Z,memlabapp-3,200,1033,
2026-04-02T13:21:00Z,memlabapp-4,200,998,
2026-04-02T13:20:58Z,memlabapp-5,200,-1681,
2026-04-02T13:21:07Z,memlabapp-1,200,1065,
2026-04-02T13:21:08Z,memlabapp-2,200,1102,
2026-04-02T13:21:09Z,memlabapp-3,200,1151,
2026-04-02T13:21:10Z,memlabapp-4,200,967,
2026-04-02T13:21:11Z,memlabapp-5,200,978,
2026-04-02T13:21:20Z,memlabapp-1,200,1074,
2026-04-02T13:21:21Z,memlabapp-2,200,952,
2026-04-02T13:21:22Z,memlabapp-3,200,927,
2026-04-02T13:21:23Z,memlabapp-4,200,1131,
2026-04-02T13:21:24Z,memlabapp-5,200,1098,
