ts,url,status,elapsed_ms,error
2026-04-02T05:28:25.619485Z,https://memlabapp-1.azurewebsites.net/health,200,899.3,
2026-04-02T05:28:26.482887Z,https://memlabapp-1.azurewebsites.net/ping,200,863.2,
2026-04-02T05:28:27.404343Z,https://memlabapp-2.azurewebsites.net/health,200,921.3,
2026-04-02T05:28:28.232321Z,https://memlabapp-2.azurewebsites.net/ping,200,827.8,
2026-04-02T05:28:39.155613Z,https://memlabapp-1.azurewebsites.net/health,200,922.2,
2026-04-02T05:28:40.084849Z,https://memlabapp-1.azurewebsites.net/ping,200,929.1,
2026-04-02T05:28:41.047112Z,https://memlabapp-2.azurewebsites.net/health,200,962.1,
2026-04-02T05:28:41.908300Z,https://memlabapp-2.azurewebsites.net/ping,200,860.9,
2026-04-02T05:28:51.490521Z,https://memlabapp-1.azurewebsites.net/health,200,803.9,
2026-04-02T05:28:52.253292Z,https://memlabapp-1.azurewebsites.net/ping,200,762.7,
2026-04-02T05:28:53.117670Z,https://memlabapp-2.azurewebsites.net/health,200,864.3,
2026-04-02T05:28:53.950657Z,https://memlabapp-2.azurewebsites.net/ping,200,832.9,
2026-04-02T05:29:04.918436Z,https://memlabapp-1.azurewebsites.net/health,200,967.0,
2026-04-02T05:29:05.710319Z,https://memlabapp-1.azurewebsites.net/ping,200,791.7,
2026-04-02T05:29:06.578278Z,https://memlabapp-2.azurewebsites.net/health,200,867.8,
2026-04-02T05:29:07.321688Z,https://memlabapp-2.azurewebsites.net/ping,200,743.3,
2026-04-02T05:29:18.136988Z,https://memlabapp-1.azurewebsites.net/health,200,814.8,
2026-04-02T05:29:18.944150Z,https://memlabapp-1.azurewebsites.net/ping,200,807.0,
2026-04-02T05:29:19.766144Z,https://memlabapp-2.azurewebsites.net/health,200,821.8,
2026-04-02T05:29:20.720142Z,https://memlabapp-2.azurewebsites.net/ping,200,953.8,
2026-04-02T05:29:30.228794Z,https://memlabapp-1.azurewebsites.net/health,200,752.3,
2026-04-02T05:29:31.088965Z,https://memlabapp-1.azurewebsites.net/ping,200,860.1,
2026-04-02T05:29:31.989173Z,https://memlabapp-2.azurewebsites.net/health,200,900.1,
2026-04-02T05:29:32.954932Z,https://memlabapp-2.azurewebsites.net/ping,200,965.7,
2026-04-02T05:29:43.861414Z,https://memlabapp-1.azurewebsites.net/health,200,905.0,
2026-04-02T05:29:44.713255Z,https://memlabapp-1.azurewebsites.net/ping,200,851.7,
2026-04-02T05:29:45.529465Z,https://memlabapp-2.azurewebsites.net/health,200,816.1,
2026-04-02T05:29:46.424247Z,https://memlabapp-2.azurewebsites.net/ping,200,894.7,
2026-04-02T05:29:56.075181Z,https://memlabapp-1.azurewebsites.net/health,200,892.5,
2026-04-02T05:29:56.982064Z,https://memlabapp-1.azurewebsites.net/ping,200,906.7,
2026-04-02T05:29:57.902237Z,https://memlabapp-2.azurewebsites.net/health,200,920.0,
2026-04-02T05:29:58.754570Z,https://memlabapp-2.azurewebsites.net/ping,200,852.2,
2026-04-02T05:30:09.730448Z,https://memlabapp-1.azurewebsites.net/health,200,974.6,
2026-04-02T05:30:10.762743Z,https://memlabapp-1.azurewebsites.net/ping,200,1032.1,
2026-04-02T05:30:11.707278Z,https://memlabapp-2.azurewebsites.net/health,200,944.4,
2026-04-02T05:30:12.455593Z,https://memlabapp-2.azurewebsites.net/ping,200,748.2,
2026-04-02T05:30:23.379068Z,https://memlabapp-1.azurewebsites.net/health,200,922.5,
2026-04-02T05:30:23.046574Z,https://memlabapp-1.azurewebsites.net/ping,200,908.5,
2026-04-02T05:30:23.974356Z,https://memlabapp-2.azurewebsites.net/health,200,927.7,
2026-04-02T05:30:24.823026Z,https://memlabapp-2.azurewebsites.net/ping,200,848.5,
2026-04-02T05:30:35.756572Z,https://memlabapp-1.azurewebsites.net/health,200,932.8,
